id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1572632382561484800,Elon Musk,,,2009-06-02 20:12:29+00:00,107334443,122,14254,TRUE,2022-09-21,@user Looks awesome 😎,,Twitter for iPhone,800,29410,FALSE
1572620091396878338,Elon Musk,,,2009-06-02 20:12:29+00:00,107334443,122,14254,TRUE,2022-09-21,@user @user Maybe little electric Tesla boats with a retro-futuristic Victorian design,,Twitter for iPhone,346,4938,FALSE
1572619068347404288,Elon Musk,,,2009-06-02 20:12:29+00:00,107334443,122,14254,TRUE,2022-09-21,"@user Long-term goal is a boardwalk with amenities that goes all the way to downtown Austin, so you can walk, bike or kayak",,Twitter for iPhone,268,4460,FALSE
1572617803936727046,Elon Musk,,,2009-06-02 20:12:29+00:00,107334443,122,14254,TRUE,2022-09-21,@user Area from south Giga to river really will be next-level great &amp; open to public!,,Twitter for iPhone,343,6493,FALSE
1572616456071938049,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,"@user @user Ecological paradise plans from south portion of Giga Texas to river look great, however we must first get the factory financially on its feet",,Twitter for iPhone,395,6806,FALSE
1572605894499729408,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,"@user @user @user @user @user I was instrumental in creating OpenAI, which made DALL-E",,Twitter for iPhone,154,2431,FALSE
1572604058116173828,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,"@user @user @user @user @user Although his methods of instruction very strongly favored stick over carrot, I did learn a tremendous amount of engineering from him &amp; appreciation of art (he is an extremely talented artist)",,Twitter for iPhone,82,1430,FALSE
1572601652347117572,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,"@user @user @user @user @user Boys High was a good school, but it was government, not private. Brooklyn would be considered a middle income, not exclusive, neighborhood in America.",,Twitter for iPhone,65,1279,FALSE
1572600332592762887,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,@user @user @user @user @user For sure,,Twitter for iPhone,59,1163,FALSE
1572595710528262160,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,"@user @user @user @user @user Errol ran out of money in the 90’s. My brother &amp; I financially supported him &amp; his extended family in South Africa since then on condition that he not do bad things. Unfortunately, he did do bad things :(",,Twitter for iPhone,154,2284,FALSE
1572593059535228936,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,@user @user @user @user @user This is true,,Twitter for iPhone,62,1367,FALSE
1572586993233829890,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,"@user @user With some improvements, it will achieve 300 Mps",,Twitter for iPhone,652,14437,FALSE
1572585205231407104,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,"@user @user @user @user @user Incorrect. There was tuition for students from outside the school district, which was a small part of the student body, incl black students, but not for students in district, which I was.

Also, I was there for 2.5 years, previously attending govt schools for 9 of 12 years.",,Twitter for iPhone,91,1689,FALSE
1572570349426085888,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,"@user @user @user @user @user I went to government schools, not private, except for part of one year in third grade",,Twitter for iPhone,127,1933,FALSE
1572568337263243264,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,"@user @user @user @user @user Probably Q2 next year, with vehicles initially transferred by boat from Port of Brownsville to the Cape",,Twitter for iPhone,266,4128,FALSE
1572564908381999105,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,"@user @user @user @user @user @user That’s the plan. We’re taking a little  risk there, as engine isolation was done as retrofit, so not as good as on Booster 9.",,Twitter for iPhone,141,2271,FALSE
1572563987258290177,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,"@user @user @user @user @user Late next month maybe, but November seems highly likely. We will have two boosters &amp; ships ready for orbital flight by then, with full stack production at roughly one every two months.",,Twitter for iPhone,464,4652,FALSE
1572561810129321984,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,"@user @user @user @user Our focus is on reliability upgrades for flight on Booster 7 and completing Booster 9, which has many design changes, especially for full engine RUD isolation.",,Twitter for iPhone,355,5570,FALSE
1572560781220417536,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,@user @user @user Exactly,,Twitter for iPhone,233,3678,FALSE
1572421645868105730,Elon Musk,,,2009-06-02 20:12:29+00:00,107334445,122,14254,TRUE,2022-09-21,@user @user @user Seems that way @user @user,,Twitter for iPhone,159,2638,FALSE
1575581872913907712,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-29,@user True,,Twitter for iPhone,412,11640,FALSE
1575509494510993408,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-29,"Needs be able to get from Starbase to South Padre Island, which requires crossing the channel",,Twitter for iPhone,2024,48921,FALSE
1575508878300618752,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-29,@user Off-label use 🤣,,Twitter for iPhone,1005,46619,FALSE
1575508498430820352,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-29,"Cybertruck will be waterproof enough to serve briefly as a boat, so it can cross rivers, lakes &amp; even seas that aren’t too choppy",,Twitter for iPhone,13582,185776,FALSE
1575507735298207744,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-29,@user Submarines use electric motors under water …,,Twitter for iPhone,689,17069,FALSE
1575507004407226374,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-29,Works on land too,,Twitter for iPhone,807,18426,FALSE
1575500596206936065,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-29,As well as advanced chip &amp; supercomputer engineers for next-gen training &amp; inference,,Twitter for iPhone,1150,19543,FALSE
1575499184764899328,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-29,"Note, this event is meant for recruiting AI &amp; robotics engineers, so will be highly technical http",,Twitter for iPhone,4189,46108,FALSE
1575380409616986112,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-29,@user Pretty much. AI/robotics engineers who understand what problems need to be solved will like what they see.,,Twitter for iPhone,566,9631,FALSE
1575377995371454464,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-29,@user @user There will be lots of technical detail &amp; cool hardware demos,,Twitter for iPhone,434,4954,FALSE
1575377597873070080,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-29,@user Good analysis,,Twitter for iPhone,337,8476,FALSE
1575271078221357056,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-28,Rated for 280+ kph (174+ mph) winds http,,Twitter for iPhone,923,12646,FALSE
1575270119881601024,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-28,Starlink Maritime system enables high speed Internet connectivity even in heavy seas &amp; hurricane winds http,,Twitter for iPhone,4267,43913,FALSE
1575268810109505536,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-28,Last coal shipment arrived in Hawaii at same time as Tesla Megapack batteries that will enable 24/7 sustainable energy http,,Twitter for iPhone,3535,40813,FALSE
1575227124931530753,Elon Musk,,,2009-06-02 20:12:29+00:00,107439448,122,14271,TRUE,2022-09-28,@user @user Still very tiny potatoes compared to what’s needed to make life multiplanetary,,Twitter for iPhone,618,3167,FALSE
1575226816347852800,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-28,@user @user SpaceX now delivering about twice as much payload to orbit as rest of world combined,,Twitter for iPhone,1191,15441,FALSE
1575211053901746177,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-28,@user Extremely concerning,,Twitter for iPhone,1829,34189,FALSE
1575210561964384258,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-28,"@user @user How ironic, that’s what Henrik Fisker did to Tesla in 2007! Karma is a …",,Twitter for iPhone,329,5187,FALSE
1575131662354026497,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-28,@user They need to add a lot of batteries to the grid to buffer energy,,Twitter for iPhone,928,18447,FALSE
1574958348163612672,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-28,I guess this joke is a slow burn … 🥁,,Twitter for iPhone,1215,26127,FALSE
1574957722415398912,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-28,@user Big improvement in high speed cross-traffic velocity NN coming next month,,Twitter for iPhone,533,12031,FALSE
1574956999938256896,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-28,@user @user @user Maybe worth talking at some point,,Twitter for iPhone,674,9212,FALSE
1574901832622612480,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-27,Make “hair on fire” not just a metaphor,,Twitter for iPhone,3956,53666,FALSE
1574897489005510656,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-27,Stand out in a crowd! Get noticed as you walk through the airport!,,Twitter for iPhone,822,16711,FALSE
1574896997416374272,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-27,Coming soon from @user the same people that sold you a Flamethrower,,Twitter for iPhone,787,17518,FALSE
1574895951973449729,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-27,“Burnt Hair” – Scent for Men by Singed,,Twitter for iPhone,2414,43616,FALSE
1574888044905185281,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-27,@user @user I’m a little preoccupied rn,,Twitter for iPhone,388,10419,FALSE
1574887915385016321,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-27,@user Batteries ftw,,Twitter for iPhone,242,5062,FALSE
1574885241948319744,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-27,@user Good point,,Twitter for iPhone,1456,35519,FALSE
1574803555873345536,Elon Musk,,,2009-06-02 20:12:29+00:00,107437833,122,14271,TRUE,2022-09-27,"My son, Saxon, was amazed that so many paper newspapers are still produced every day. 

He said they probably just search the Internet &amp; print it out. Yup, with rare exception, that is *actually* what they do haha.",,Twitter for iPhone,7464,112785,FALSE
1574773851523022850,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-27,"Falcon 9 fairing cam captures 2nd stage plume, booster entry burn &amp; Earth in twilight http",,Twitter for iPhone,7194,88376,FALSE
1574625957926707200,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-27,"@user @user Even then, Lenin would’ve gotten nowhere without Ludendorff’s train",,Twitter for iPhone,113,1799,FALSE
1574193494436069377,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-26,@user Charming …,,Twitter for iPhone,1292,38732,FALSE
1574112663864430593,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-25,Starlink now over 1M user terminals manufactured,,Twitter for iPhone,12231,155962,FALSE
1573624036957065217,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-24,@user Siegel is obviously correct,,Twitter for iPhone,1754,29659,FALSE
1573379244268437504,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-23,@user Activating Starlink …,,Twitter for iPhone,32363,191403,FALSE
1573165011484413952,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-23,@user @user Education is the path out of poverty and Internet access enables education,,Twitter for iPhone,2341,14554,FALSE
1573164441084067842,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-23,@user Exactly,,Twitter for iPhone,156,4459,FALSE
1573144936756965376,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-23,Starlink connecting schools in the Amazon http,,Twitter for iPhone,13705,132684,FALSE
1573047790577614848,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-22,@user @user It is,,Twitter for iPhone,118,3715,FALSE
1573026765295030273,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-22,@user Why is this a PopMech story?,,Twitter for iPhone,1288,32595,FALSE
1573004188791066627,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-22,@user @user @user Yup (sigh),,Twitter for iPhone,481,14378,FALSE
1572986371295289351,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-22,@user Fully reusable orbital rockets are the fundamental breakthrough needed for humanity to become a multiplanet species,,Twitter for iPhone,666,9695,FALSE
1572985952683065345,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-22,"@user @user @user The terminology is outdated &amp; inaccurate. This is a tiny over-the-air software update. To the best of our knowledge, there have been no injuries.",,Twitter for iPhone,649,9403,FALSE
1572970174629691395,Elon Musk,,,2009-06-02 20:12:29+00:00,107437834,122,14271,TRUE,2022-09-22,"@user @user @user Your car needs a camera upgrade, which is free of charge. There are a few thousand cars in a similar situation. Replacement cameras will be available early next month.",,Twitter for iPhone,183,3070,FALSE
1572968110235455488,Elon Musk,,,2009-06-02 20:12:29+00:00,107437837,122,14271,TRUE,2022-09-22,@user @user While (!pheromone) {},,Twitter for iPhone,694,18224,FALSE